name,maxplayers,minage,minplayers,minplaytime,playtime,yearpublished,category,mechanic,publisher,average,weightaverage,numberofweights,owned,position,usersrated,langdep,suggested1player,suggested2player,suggested3player,suggested4player,suggested5player,suggested6player,suggested7player,suggested8player,suggested9player,suggested10player,suggestedOver10player,suggestedPlayerAge
"Stalingrad Pocket (first edition)",2,15,2,120,120,1992,"Wargame,World War II","Hex-and-Counter","The Gamers,Oriflam",6.74641,2.7,20,488,4046,167,Some,Recommended,Best,null,null,null,null,null,null,null,null,NotRecommended,16
"Legions of Steel",5,12,2,180,180,1992,"Fighting,Miniatures,Science Fiction","Modular Board","Devir,Global Games Company",6.93827,2.9333,15,266,4281,127,null,null,Best,Recommended,Recommended,null,null,null,null,null,null,NotRecommended,14
"Elfengold",6,10,2,60,60,1991,"Bluffing,Fantasy","null","White Wind",6.09905,2.2222,9,242,7872,105,null,null,null,Recommended,Recommended,Best,Best,null,null,null,null,null,12
"Mahjong",4,8,3,120,120,1850,"Abstract Strategy","Hand Management,Set Collection","(Public Domain),(Unknown),A. D. Richter & Cie.,Alga,ASS Altenburger Spielkarten,Blizzard Entertainment,Brevete S.G.D.G.,Cardinal,Carlsberg,Cayro Juegos,Chad Valley Co Ltd.,CHH Games,Chinese Arts & Crafts,Creative Crafthouse,Crisloid,Dal Negro,De La Rue,Dilemma Games,E.S. Lowe,Educa Borras,Fame Products,Geoludie,Gibsons Games,Golconda,Golden,Grapet,Grow Jogos e Brinquedos,Guanhua (),H. P. Gibson & Sons,Hartung-Spiele,John Jaques of London,John Lewis,John N. Hansen Co., Inc.,John Sands Pty Ltd,Kerry's Mah Jong,Kirjalito,KR,Longfield Games,Michael Stanfield,Miro Company,Monkey Pod Games,National Games, Inc.,National Mah Jongg League, Inc.,Olsen,Parker Brothers,Perry & Co. Ltd.,Philos,Royal Depth,Schmidt Spiele,SPM - Syarikat Permainan Malaysia,Sterling Games,SYU Creation,U3,Wizards of the Coast,Wood Expressions,Woodstock Spiele,Yellow Mountain Imports,Zontik Games",7.02858,2.5497,433,6796,553,4988,No,NotRecommended,NotRecommended,NotRecommended,Best,null,null,null,null,null,null,NotRecommended,10
"Waldmeister",4,12,2,90,90,1994,"Environmental","Auction/Bidding,Co-operative Play,Tile Placement","Hans im Glück Verlags-GmbH",6.25935,2.3333,9,204,6335,107,Moderate,null,Recommended,Best,Best,null,null,null,null,null,null,null,10
"Caprice",4,10,2,20,20,1999,"Abstract Strategy","Pattern Building,Tile Placement","Goldsieber Spiele,Rio Grande Games",5.79562,1.9333,15,248,8599,126,No,null,Recommended,Recommended,Recommended,null,null,null,null,null,null,null,10
"Heresy",5,12,2,90,90,1995,"Card Game,Collectible Components,Fantasy,Fighting","Voting","Last Unicorn Games",5.79158,3.2,10,180,9362,101,Extensive,null,null,Best,Recommended,null,null,null,null,null,null,null,null
"Sopwith",6,8,2,60,60,1978,"Aviation / Flight,Wargame,World War I","Action / Movement Programming,Hex-and-Counter,Simultaneous Action Selection","Gamer,Gametime Games",6.704,1.8,10,176,5372,100,No,NotRecommended,Best,Best,Best,Best,Best,null,null,null,null,Best,8
"Imperium: 3rd Millennium",2,12,2,120,120,2001,"Science Fiction,Wargame","Hex-and-Counter","Avalanche Press Ltd.",5.22806,3.0476,21,439,12876,139,null,null,null,null,null,null,null,null,null,null,null,null,null
"Duck, Duck, Bruce",4,6,2,20,20,1997,"Animals,Card Game,Children's Game","Press Your Luck","Gamewright,Goldsieber Spiele,Kaissa Chess & Games,Kanga Games,Noris Spiele,Zvezda",6.21253,1.0417,48,858,3328,501,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,5
"Free Parking",4,8,2,30,30,1988,"Card Game,Transportation","null","Hasbro,Parker Brothers,Parker Spiele,Waddington's Games, Inc.,Winning Moves Games (USA)",5.12478,1.125,24,660,13146,253,null,null,null,null,Recommended,null,null,null,null,null,null,null,null
"221B Baker St.: Sherlock Holmes & the Time Machine",6,12,2,45,45,1996,"Deduction,Murder/Mystery,Novel-based","Roll / Spin and Move","Grow Jogos e Brinquedos,John N. Hansen Co., Inc.,The Toy Company Argentina S.R.L.,University Games",5.75238,2.1333,15,616,8645,189,Extensive,NotRecommended,null,Recommended,Best,Recommended,NotRecommended,null,null,null,null,NotRecommended,14
"The Sword and the Stars",5,12,1,240,240,1981,"Civilization,Economic,Political,Science Fiction,Wargame","Action Point Allowance System,Voting","SPI (Simulations Publications, Inc.)",6.2422,2.8824,17,404,6561,109,Some,Recommended,Recommended,Best,Best,Best,null,null,null,null,null,NotRecommended,14
"Shadowrun: The Trading Card Game",8,12,2,60,60,1997,"Card Game,Collectible Components,Fantasy,Fighting,Science Fiction","null","Diseños Orbitales,Fanpro,FASA,ISA",6.34473,2.6667,30,418,4217,256,Extensive,Recommended,Best,Best,Best,NotRecommended,NotRecommended,NotRecommended,NotRecommended,null,null,NotRecommended,12
"Amazons",2,12,2,30,30,1992,"Abstract Strategy","Area Enclosure,Grid Movement,Tile Placement","(Web published),Ediciones de Mente,Kadon Enterprises,nestorgames",7.16335,2.9167,24,144,2900,227,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"Overpower",2,10,2,30,30,1995,"Card Game,Collectible Components,Comic Book / Strip,Fantasy,Fighting","Variable Player Powers","Fleer/Skybox",5.55746,1.8,30,598,10780,378,Extensive,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"Crossbows and Catapults",2,6,2,30,30,1983,"Action / Dexterity,Children's Game,Medieval","null","Alga,Base Toys,Gay-Play,El Greco,Harbert,Lakeside,Tomy",6.52168,1.3182,66,590,2596,637,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,5
"Young Jedi CCG",2,8,2,45,45,1999,"Card Game,Collectible Components,Fighting,Movies / TV / Radio theme,Science Fiction","Simultaneous Action Selection","Decipher",4.87561,1.5806,31,481,13480,295,Moderate,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,6
"Guardians",4,12,2,45,45,1995,"Card Game,Collectible Components,Fantasy,Fighting","Secret Unit Deployment","FPG",6.30176,2.7,20,461,4669,250,Extensive,NotRecommended,Best,Recommended,Recommended,null,null,null,null,null,null,NotRecommended,12
"Rage",6,12,2,45,45,1995,"Card Game,Collectible Components,Fighting,Horror","null","White Wolf Publishing (White Wolf)",5.98749,2.375,40,846,4729,515,Extensive,NotRecommended,Recommended,Recommended,Best,Best,Recommended,null,null,null,null,NotRecommended,10
"On the Edge",5,12,2,45,45,1994,"Card Game,Collectible Components,Fighting","null","Atlas Games",6.13422,2.3913,23,571,4554,301,null,NotRecommended,Best,Recommended,Best,Best,null,null,null,null,null,Best,null
"X-Files",2,10,2,60,60,1996,"Card Game,Collectible Components,Deduction,Movies / TV / Radio theme","Action Point Allowance System","The United States Playing Card Company",5.54012,2.3939,33,714,12127,332,Moderate,NotRecommended,Best,null,null,null,null,null,null,null,null,Best,12
"UNO Hearts",8,7,2,30,30,1994,"Card Game","Hand Management,Trick-taking","International Games,Mattel",5.69386,2.0909,11,304,10458,114,null,null,null,null,null,null,null,null,null,null,null,null,null
"Ebola Monkey Hunt",6,12,3,60,60,1998,"Fighting,Racing","Pick-up and Deliver,Roll / Spin and Move","Placebo Press",5.11033,1.4444,9,239,12811,121,Extensive,NotRecommended,null,Best,Best,Best,Best,null,null,null,null,NotRecommended,10
"Warlock",6,12,2,60,60,1980,"Card Game,Fantasy,Fighting","Campaign / Battle Card Driven,Variable Player Powers","Games Workshop Ltd.,Pelito,Schmidt Spiele",5.78991,2.2692,26,506,7222,233,Some,NotRecommended,NotRecommended,Recommended,Best,Recommended,Recommended,null,null,null,null,NotRecommended,16
"Huzzah!",8,10,3,60,60,1997,"Print & Play,Renaissance","Commodity Speculation,Roll / Spin and Move","Cheapass Games,Truant Spiele",5.4525,1.6471,17,350,11547,120,Some,NotRecommended,NotRecommended,Recommended,Best,Best,Best,Recommended,Recommended,null,null,NotRecommended,8
"Renfield",7,10,4,60,60,1999,"Card Game,Horror,Print & Play","Betting/Wagering,Trick-taking","Cheapass Games,I Am Factory",5.68479,1.3529,17,541,9594,144,Some,NotRecommended,NotRecommended,Recommended,Best,Best,Best,Best,null,null,null,NotRecommended,10
"London's Burning",2,12,1,360,360,1995,"Aviation / Flight,Wargame,World War II","Hex-and-Counter","Avalon Hill",6.86381,2.5395,76,983,2435,401,Extensive,Best,Recommended,null,null,null,null,null,null,null,null,NotRecommended,12
"Thunderbolt/Apache Leader",1,12,1,300,300,1991,"Aviation / Flight,Modern Warfare,Wargame","Campaign / Battle Card Driven","GMT Games",7.16625,2.5806,31,509,2896,225,Extensive,Best,null,null,null,null,null,null,null,null,null,NotRecommended,14
"Arch Rival",5,8,2,20,20,1992,"Action / Dexterity","null","Parker Brothers,Ravensburger Spieleverlag GmbH",5.21013,1.0625,16,346,12969,217,No,null,null,null,null,null,null,null,null,null,null,null,6
"Riddle of the Ring",8,13,2,120,120,1982,"Adventure,Fantasy,Novel-based","Partnerships","Fellowship Games,Hobby Japan,Iron Crown Enterprises",6.69048,2.1538,13,284,5061,125,null,NotRecommended,Recommended,Recommended,Best,Recommended,Best,NotRecommended,Recommended,null,null,NotRecommended,null
"Warhammer 40,000",6,17,2,30,120,1993,"Fighting,Miniatures,Science Fiction","Dice Rolling,Modular Board,Variable Player Powers","Games Workshop Ltd.",6.39206,3.4792,192,2915,1874,1978,Moderate,NotRecommended,Best,NotRecommended,Recommended,NotRecommended,NotRecommended,null,null,null,null,NotRecommended,12
"Space Hulk",4,12,2,45,45,1989,"Fighting,Miniatures,Science Fiction","Action Point Allowance System,Dice Rolling,Grid Movement,Modular Board","Diseños Orbitales,Games Workshop Ltd.,ISA,Welt der Spiele",7.46003,2.508,313,3301,370,3182,No,NotRecommended,Best,Recommended,NotRecommended,null,null,null,null,null,null,NotRecommended,10
"Pokémon Trading Card Game",2,7,2,20,20,1996,"Card Game,Collectible Components,Fantasy,Fighting,Movies / TV / Radio theme","Card Drafting,Variable Player Powers","Copag - Cia. Paulista de Artes Gráficas,Devir,Nintendo Co., Ltd.,The Pokémon Company International,Wizards of the Coast",6.10237,1.9884,172,2970,2510,2140,Extensive,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"Wyvern",2,10,2,30,30,1994,"Card Game,Collectible Components,Fantasy,Fighting","null","U.S. Games Systems, Inc.",5.16351,2.2414,29,667,13383,365,Some,NotRecommended,Best,null,null,null,null,null,null,null,null,Recommended,10
"Hitler's War",3,12,2,300,300,1981,"Wargame,World War II","Dice Rolling,Hex-and-Counter,Simulation","Avalon Hill,Metagaming",6.25764,3,66,1085,3315,492,No,NotRecommended,Best,Best,null,null,null,null,null,null,null,NotRecommended,12
"Arcadia: The Wyld Hunt",5,10,1,30,30,1996,"Card Game,Collectible Components,Exploration,Fantasy,Fighting","Modular Board","White Wolf Publishing (White Wolf)",5.48127,2.1667,12,260,11689,134,null,Recommended,Best,null,null,null,null,null,null,null,null,null,null
"4 Player Chess",4,8,4,45,45,1881,"Abstract Strategy","Grid Movement,Player Elimination","Chessapeak Games,EW Finks,Masteray,Taurus Games (II),WOW Toys, Inc.",6.01295,2.8462,26,587,5734,305,No,NotRecommended,Recommended,NotRecommended,Best,null,null,null,null,null,null,NotRecommended,6
"Coup d'etat",4,10,3,30,30,1966,"Card Game","Hand Management,Trick-taking","Miro Company,Parker Brothers",6.51284,2.2308,13,406,5542,109,null,NotRecommended,NotRecommended,Best,Best,null,null,null,null,null,null,NotRecommended,10
"Musketeers",4,8,2,20,40,1991,"Bluffing,Card Game","Auction/Bidding,Hand Management,Simultaneous Action Selection","Eagle-Gryphon Games,Hexagames (I),Pegasus Spiele",6.04796,1.1154,26,906,4447,367,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,8
"Flagship: Prometheus Unchained",4,10,2,180,180,2002,"Card Game,Science Fiction","Campaign / Battle Card Driven","GMT Games",5.99878,2.087,23,412,6105,182,null,null,null,null,null,null,null,null,null,null,null,null,null
"Bridge",4,12,4,60,60,1925,"Card Game","Auction/Bidding,Hand Management,Memory,Partnerships,Trick-taking","(Public Domain),Ariel,ASS Altenburger Spielkarten,Atlantic Playing Card Company,Chas Goodall & Sons Ltd,David Westnedge,Excalibur Electronics,Hasbro,House of Marbles,Man-indo,Michael Stanfield,Piatnik,Playbox,TAG,W. D. & H. O. Wills,Waddington's Games, Inc.,Yaquinto",7.47866,3.8545,268,1608,422,2593,No,NotRecommended,NotRecommended,NotRecommended,Best,null,null,null,null,null,null,NotRecommended,10
"Pfusch",5,8,2,30,30,1992,"Bluffing,City Building","null","Fun Connection,Heidelberger Spieleverlag",6.16594,1.5455,11,232,6373,123,No,null,NotRecommended,Best,Best,Best,null,null,null,null,null,null,8
"Star Trek: The Card Game",2,10,2,45,45,1996,"Card Game,Collectible Components,Movies / TV / Radio theme,Science Fiction","null","Fleer/Skybox",5.37969,2.6667,6,397,12209,170,Extensive,null,Best,null,null,null,null,null,null,null,null,null,null
"Rivets",2,10,2,30,30,1977,"Science Fiction,Wargame","Action / Movement Programming,Hex-and-Counter","Decision Games (I),Metagaming",6.32565,2,23,541,4881,191,Moderate,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,12
"Chitin: I",2,10,2,30,30,1977,"Science Fiction,Wargame","Hex-and-Counter","Metagaming",5.91397,1.7619,21,461,7343,179,null,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,null
"Globbo!",2,12,2,45,45,1983,"Abstract Strategy,Fighting,Humor,Science Fiction","Hex-and-Counter","Przedsibiorstwo Innowacyjno-Wdroeniowe Medicat sp. z o. o.,Steve Jackson Games",5.80413,2,15,237,9500,109,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,10
"Kensington",6,7,2,20,20,1979,"Abstract Strategy","null","Arxon,Canada Games,Forbes Taylor,Master Ion Sdn. Bhd.,Samuel Ward Co.,Whale Toys",5.32517,2.2273,44,921,12987,383,No,NotRecommended,Best,NotRecommended,NotRecommended,NotRecommended,NotRecommended,null,null,null,null,NotRecommended,8
"Thinking Man's Golf",4,0,1,45,45,1966,"Sports","null","3M",5.9962,1.8095,21,531,6648,184,null,Recommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
"Falsche FuFFziger",6,12,3,90,90,1994,"Economic,Mafia","Auction/Bidding","2F-Spiele",6.43077,2.5455,11,274,5470,117,Some,NotRecommended,NotRecommended,Best,Best,Recommended,NotRecommended,null,null,null,null,NotRecommended,14
"Redemption",5,7,2,30,30,1995,"Card Game,Collectible Components,Religious","null","Cactus Game Design",5.80688,2.6154,26,374,9516,210,Extensive,NotRecommended,Best,Recommended,Recommended,Recommended,null,null,null,null,null,NotRecommended,6
"The Lost World Jurassic Park Game",4,8,2,90,90,1996,"Movies / TV / Radio theme,Prehistoric,Racing","Co-operative Play,Hex-and-Counter,Roll / Spin and Move","Milton Bradley",5.81267,1.5556,9,304,9045,146,null,null,Best,Best,null,null,null,null,null,null,null,null,8
"Jurassic Park Game",8,7,2,60,60,1993,"Animals,Movies / TV / Radio theme,Prehistoric,Racing,Science Fiction","Hex-and-Counter,Roll / Spin and Move","Milton Bradley,Parker Brothers",5.0402,1.4545,22,320,13170,153,No,NotRecommended,Recommended,Recommended,Best,Best,Recommended,NotRecommended,NotRecommended,null,null,NotRecommended,6
"Proteus",2,8,2,30,30,2001,"Abstract Strategy,Dice","Grid Movement,Variable Player Powers","Steve Jackson Games",6.59046,3.2308,13,463,3906,192,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,10
"eBay Electronic Talking Auction Game",4,10,3,20,20,2001,"Card Game,Electronic","Auction/Bidding,Set Collection","Hasbro,MB Jeux,MB Juegos,MB Spiele",5.98852,1.2414,29,588,4793,358,Some,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,Recommended,10
"Revolt on Antares",4,12,2,45,45,1981,"Science Fiction,Wargame","Hex-and-Counter","TSR",6.2461,2,29,430,5555,177,Some,NotRecommended,Best,Recommended,Best,null,null,null,null,null,null,NotRecommended,12
"Saga",6,10,2,45,45,1980,"Adventure,Fantasy","null","TSR",5.84615,1.6364,22,329,8523,135,null,Recommended,Recommended,Recommended,Recommended,NotRecommended,NotRecommended,null,null,null,null,NotRecommended,null
"They've Invaded Pleasantville",2,12,2,45,45,1981,"Horror,Science Fiction","null","TSR",5.88235,2.1333,15,451,7967,153,Extensive,null,null,null,null,null,null,null,null,null,null,null,10
"Vampyre",6,12,2,45,45,1981,"Exploration,Horror","Area-Impulse","TSR",6.18354,1.5455,22,327,6204,158,Moderate,NotRecommended,Recommended,Recommended,Best,Best,Best,null,null,null,null,NotRecommended,10
"Columbus",6,10,2,45,45,1991,"Exploration,Nautical,Racing","Tile Placement","Mál og menning,Otto Maier Verlag,Ravensburger Spieleverlag GmbH",5.86642,2,8,271,7873,137,No,NotRecommended,Recommended,Recommended,Recommended,Recommended,Best,null,null,null,null,NotRecommended,8
"UNO",10,6,2,30,30,1971,"Card Game,Comic Book / Strip,Movies / TV / Radio theme,Number","Hand Management","(Unknown),AMIGO Spiel + Freizeit GmbH,AS Manufacturas,ASS Altenburger Spielkarten,Borras Plana S.A.,Clipper,Damm / Egmont,Fundex,Gebr. Ludwigs oHG,Gibsons Games,El Greco,Grow Jogos e Brinquedos,Homax,International Games,Mattel,Nilco S.A.,Sababa Toys, Inc.,Waddington's Games, Inc.",5.33351,1.1331,1044,21009,13561,13135,No,NotRecommended,NotRecommended,Recommended,Best,Best,Best,Recommended,Recommended,NotRecommended,NotRecommended,NotRecommended,6
"Circus Imperium",12,12,2,120,120,1988,"Fantasy,Racing","Area-Impulse,Hex-and-Counter","FASA",6.63391,2.0476,21,460,3422,261,Moderate,NotRecommended,NotRecommended,NotRecommended,Recommended,Best,Best,Recommended,Recommended,Recommended,Best,NotRecommended,10
"Greyhounds",4,14,3,90,90,1985,"Racing,Sports","Betting/Wagering,Simultaneous Action Selection","Hans im Glück Verlags-GmbH,Mattel",6.34965,2,11,262,5778,115,No,NotRecommended,NotRecommended,Best,Best,null,null,null,null,null,null,NotRecommended,16
"Spiel",6,6,2,20,20,1980,"Abstract Strategy,Action / Dexterity,Dice,Game System","Auction/Bidding,Co-operative Play,Dice Rolling","ABACUSSPIELE,ABC Toys,Edition Perlhuhn (Göttinger Spiele),KOSMOS,Pyra-Tern",6.17156,1.6429,14,430,5444,167,No,NotRecommended,Best,Best,Best,Recommended,Recommended,null,null,null,null,NotRecommended,10
"Chez Dork",6,12,2,30,30,2001,"Card Game","Auction/Bidding,Set Collection,Variable Player Powers","Steve Jackson Games",5.25866,1.3158,38,866,13393,486,Extensive,NotRecommended,NotRecommended,Recommended,Recommended,Best,Best,null,null,null,null,NotRecommended,10
"Ido",4,12,2,45,45,1998,"Abstract Strategy","Modular Board","Goldsieber Spiele,Rio Grande Games",5.80271,2.125,16,409,7255,240,No,null,Recommended,NotRecommended,Best,null,null,null,null,null,null,null,null
"PanzerBlitz",2,12,2,90,90,1970,"Wargame,World War II","Dice Rolling,Hex-and-Counter,Modular Board,Simulation","Avalon Hill",6.46801,3.0619,194,3189,1866,1421,Some,Recommended,Best,null,null,null,null,null,null,null,null,NotRecommended,12
"Mad Magazine Card Game",6,8,2,30,30,1979,"Card Game,Comic Book / Strip,Humor","null","Alga,Clipper,Parker Brothers",5.73714,1.1143,35,687,8502,311,Some,NotRecommended,Recommended,Recommended,Best,Best,Recommended,null,null,null,null,Recommended,8
"Creatures & Cultists",5,6,2,30,30,1993,"Card Game,Horror","null","Edge Entertainment,EOS Press,Gessnitzer & Städtler Verlag,Pagan Publishing,Raven Distribution,Ubik",5.11312,1.7931,29,707,13346,308,Extensive,NotRecommended,Recommended,Recommended,Best,Best,null,null,null,null,null,NotRecommended,8
"Zero!",10,12,2,60,60,2001,"Aviation / Flight,Card Game,Wargame,World War II","Campaign / Battle Card Driven,Hand Management","GMT Games",6.9414,2.2941,68,1164,1887,553,Moderate,Recommended,Best,NotRecommended,Recommended,NotRecommended,Recommended,NotRecommended,Recommended,NotRecommended,Recommended,NotRecommended,10
"Leverage",2,10,2,30,30,1977,"Abstract Strategy","Grid Movement","Estrela,Milton Bradley,Newfeld Limited,Nilco S.A.,Star Game Co.",6.15863,1.7778,18,352,5972,168,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"The Sinking of the Titanic",4,8,2,60,60,1975,"Children's Game,Nautical","Roll / Spin and Move","Ideal,Milton Bradley",5.7953,1.3462,26,348,8693,202,null,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,8
"Midway",2,12,2,120,120,1964,"Nautical,Wargame,World War II","Dice Rolling,Secret Unit Deployment","Avalon Hill",6.57211,2.4653,101,1598,2356,707,Some,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,12
"Strat-O-Matic Baseball",2,11,1,45,45,1962,"Sports","Dice Rolling,Simulation","Strat-O-Matic Game Company",7.56622,2.3483,89,1167,1047,805,Moderate,Recommended,Best,null,null,null,null,null,null,null,null,NotRecommended,10
"King of the Tabletop",4,12,2,180,180,1983,"Bluffing,Exploration,Fantasy,Print & Play,Territory Building","Area Control / Area Influence,Secret Unit Deployment","(Web published),TSR",6.89017,1.9231,26,365,3577,191,Some,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,8
"Touring",6,8,2,30,30,1906,"Card Game,Racing,Sports","Set Collection,Take That","Collett-Sproule Boxes, Limited,Copp Clark Publishing Company,Parker Brothers,Touring Card Company,University Games,Wallie Dorr Co.,Winning Moves Games (USA)",5.23065,1.25,16,596,12670,169,Some,NotRecommended,Recommended,Best,Best,Recommended,Recommended,null,null,null,null,NotRecommended,8
"Title Bout",2,12,1,45,45,1979,"Fighting,Sports","Area Movement,Simulation,Simultaneous Action Selection,Variable Player Powers","Avalon Hill,TJ Publishing Company",6.63305,2.1795,39,450,3737,243,Moderate,Recommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"The Magnificent Race",4,10,2,60,60,1975,"Children's Game,Nautical,Racing,Trains,Transportation","Betting/Wagering,Roll / Spin and Move","Palitoy Ltd.,Parker Brothers,Toltoys",6.19227,1.1622,37,390,5378,207,Some,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,8
"The Stock Market Game",6,0,1,60,60,1970,"Economic,Negotiation","null","Avalon Hill",5.26648,2.04,25,611,12803,176,null,Recommended,Recommended,Recommended,Recommended,Recommended,Best,null,null,null,null,null,10
"Afrika Korps",4,12,2,180,180,1964,"Wargame,World War II","Dice Rolling,Hex-and-Counter,Simulation","Avalon Hill",6.11818,2.3145,124,1756,3366,829,Some,NotRecommended,Best,NotRecommended,NotRecommended,null,null,null,null,null,null,NotRecommended,12
"Mythology",8,12,2,180,180,1980,"Bluffing,Deduction,Fighting,Mythology","Action / Movement Programming,Betting/Wagering","Yaquinto",6.55,3.3846,13,279,5637,110,Extensive,NotRecommended,NotRecommended,NotRecommended,Best,Best,Best,Best,Best,null,null,null,12
"Ultimate Stratego",4,10,2,30,30,1997,"Abstract Strategy,Bluffing,Deduction,Memory,Napoleonic","Area Movement,Memory,Partnerships,Secret Unit Deployment","Winning Moves Games (USA)",5.85615,2.1034,29,734,6079,317,No,NotRecommended,Best,NotRecommended,Best,null,null,null,null,null,null,NotRecommended,8
"Gobblet",2,7,2,20,20,2000,"Abstract Strategy,Memory","Pattern Building,Pattern Recognition","Blue Orange (EU),Blue Orange Games,Foxgames (Poland),Gigamic,HUCH! & friends,Ludens Spirit",6.57616,1.875,104,2131,1671,1284,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"Lost Patrol",4,12,2,20,30,2000,"Exploration,Miniatures,Science Fiction","Dice Rolling,Modular Board,Role Playing","Games Workshop Ltd.",6.4751,1.6667,30,487,4077,241,No,Recommended,Best,NotRecommended,NotRecommended,null,null,null,null,null,null,NotRecommended,8
"Aggravation",6,6,2,45,45,1962,"null","Roll / Spin and Move","Airfix,CO-5,Hasbro,IRWIN Games,Lakeside,Milton Bradley,Nichols Novelty,Parker Brothers,Reiss Games,Selchow & Righter,Winning Moves Games (USA)",4.72898,1.2073,82,1347,13622,805,No,NotRecommended,Recommended,Recommended,Recommended,Recommended,Best,null,null,null,null,NotRecommended,6
"Airlines",4,12,2,120,120,1998,"Aviation / Flight,Card Game,Economic","Hand Management","Avalanche Press Ltd.",4.616,2.0667,15,294,13428,160,Extensive,NotRecommended,Recommended,Best,Recommended,null,null,null,null,null,null,null,6
"Marco Polo",4,8,2,60,60,1983,"Adventure,Arabian,Economic,Exploration,Transportation","Pick-up and Deliver,Roll / Spin and Move,Set Collection,Trading","CEFA (Celulosa Fabril S. A.),Damm / Egmont,danspil,Editrice Giochi,K.E.Leg,Nelospelit,Schmidt Spiele",5.0566,1.7333,15,163,12812,106,Moderate,NotRecommended,Best,Recommended,NotRecommended,null,null,null,null,null,null,NotRecommended,6
"Pictionary",16,12,3,90,90,1985,"Party Game","Line Drawing,Partnerships,Roll / Spin and Move","APEX Spiel und Hobby,AS Company,Desyllas Games,Diset S. A.,Falomir Juegos,The Games Gang, LTD,Grow Jogos e Brinquedos,Hasbro,Hobby,Mattel,Milton Bradley,Parker Brothers,Pictionary, Inc.,Playmix,Publijuegos,Ruibal Hermanos S.A.,SYU Creation,USAopoly,Western Publishing Company",5.81338,1.2564,429,7700,3622,5261,Extensive,NotRecommended,NotRecommended,NotRecommended,Recommended,Recommended,Best,Recommended,Best,Recommended,Recommended,NotRecommended,8
"Dark Future",0,8,2,60,60,1988,"Miniatures,Racing,Science Fiction,Transportation,Wargame","null","Games Workshop Ltd.",5.8371,2.3077,26,522,7725,252,null,null,null,null,null,null,null,null,null,null,null,NotRecommended,null
"Blood Bowl (Second Edition)",2,14,2,180,180,1988,"Fantasy,Fighting,Sports","Dice Rolling,Grid Movement,Variable Player Powers","Descartes Editeur,Games Workshop Ltd.",6.77686,2.8298,94,1689,1489,1136,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,10
"Ghosts!",2,6,2,15,15,1980,"Bluffing,Children's Game,Horror","Grid Movement,Secret Unit Deployment","(Unknown),Asmodee,Bütehorn Spiele,Drei Magier Spiele,Estrela,Granna,Kärnan,Kirjalito,Kod Kod,Litor,Milton Bradley,Möbius Games,Noris Spiele,Oliphante,Schmidt Spiele,Venice Connection,Waddington's Games, Inc.",6.37759,1.3193,119,1521,2032,1169,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,6
"Flinch",8,7,1,20,20,1894,"Card Game,Memory,Number","Card Drafting,Memory,Set Collection","Damm / Egmont,Flinch Card Co.,Goliath B.V.,Hasbro,Juegos Crone,Parker Brothers,Sio,Werner & Schumann,Winning Moves Games (USA)",5.18056,1.1429,28,1337,13320,341,No,NotRecommended,Best,Recommended,Best,Recommended,Best,NotRecommended,NotRecommended,null,null,NotRecommended,6
"Bermuda Triangle",4,8,2,30,30,1976,"Nautical,Transportation","Pick-up and Deliver,Roll / Spin and Move","Editrice Giochi,John Sands Pty Ltd,MB Jeux,MB Spellen,MB Spiele,Milton Bradley,Somerville Ltd.",5.51815,1.2317,82,1216,11932,658,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,5
"U.S. Patent No. 1",6,10,3,60,60,2001,"Fighting,Racing,Science Fiction","Action Point Allowance System,Set Collection,Variable Player Powers","Cheapass Games",5.26791,1.5758,33,717,13031,282,null,null,null,Recommended,Recommended,NotRecommended,NotRecommended,null,null,null,null,NotRecommended,null
